name,bookings,rating,reviews,price,cuisine,location
T. Cook’s at Royal Palms Resort and Spa,18,4.5 stars out of 5,Awesome,3,Mediterranean,Central Scottsdale
Toca Madera - Scottsdale,186,4.6 stars out of 5,Exceptional,2,Mexican,Old Town Scottsdale
The Phoenician Tavern,10,4.4 stars out of 5,Awesome,2,American,Old Town Scottsdale
Paul Martin's American Grill - Scottsdale,53,4.7 stars out of 5,Exceptional,2,American,Old Town Scottsdale
Mastro's City Hall Steakhouse,60,4.7 stars out of 5,Exceptional,4,Steakhouse,Old Town Scottsdale
Ocean 44,105,4.9 stars out of 5,Exceptional,4,Seafood,Central Scottsdale
Mowry & Cotton,15,4.4 stars out of 5,Awesome,3,American,Old Town Scottsdale
Kona Grill - Scottsdale,18,4.2 stars out of 5,Awesome,2,Contemporary American,Old Town Scottsdale
Olive & Ivy Restaurant & Marketplace,109,4.7 stars out of 5,Exceptional,3,Mediterranean,Old Town Scottsdale
Francine,62,4.6 stars out of 5,Exceptional,3,French,Old Town Scottsdale
Nobu Scottsdale,53,4.7 stars out of 5,Exceptional,4,Creative Japanese,Old Town Scottsdale
Culinary Dropout Waterfront,105,4.6 stars out of 5,Exceptional,2,Gastro Pub,Old Town Scottsdale
elements at Sanctuary Camelback Mountain,47,4.8 stars out of 5,Exceptional,4,American,Central Scottsdale
Roaring Fork - Scottsdale,45,4.6 stars out of 5,Exceptional,2,American,Old Town Scottsdale
Maple & Ash - Scottsdale,65,4.8 stars out of 5,Exceptional,3,Steakhouse,Old Town Scottsdale
Bourbon & Bones,36,4.7 stars out of 5,Exceptional,4,Steakhouse,Old Town Scottsdale
Marcellino Ristorante,27,4.7 stars out of 5,Exceptional,4,Italian,Old Town Scottsdale
Hand Cut Burgers & Chophouse,29,4.5 stars out of 5,Awesome,3,American,Old Town Scottsdale
Zinqué - Scottsdale,41,4.4 stars out of 5,Awesome,2,Traditional French,Old Town Scottsdale
The Mission – Old Town Scottsdale,74,4.7 stars out of 5,Exceptional,2,Latin American,Old Town Scottsdale
La Locanda,9,4.7 stars out of 5,Exceptional,2,Italian,Old Town Scottsdale
Sushi Roku - Scottsdale,38,4.6 stars out of 5,Exceptional,2,Sushi,Old Town Scottsdale
Farm and Craft Scottsdale,10,4.5 stars out of 5,Awesome,2,American,Old Town Scottsdale
El Chorro,56,4.7 stars out of 5,Exceptional,3,American,Paradise Valley
The Henry - Phoenix,116,4.8 stars out of 5,Exceptional,2,Contemporary American,Central Phoenix
Steak 44,116,4.9 stars out of 5,Exceptional,4,Steakhouse,Central Phoenix
EVO,41,4.5 stars out of 5,Awesome,2,Italian,Old Town Scottsdale
Blanco Tacos + Tequila - The Borgata,37,4.7 stars out of 5,Exceptional,2,Mexican,Central Scottsdale
Cien Agaves Tacos & Tequila – Old Town,46,4.6 stars out of 5,Exceptional,2,Mexican,Old Town Scottsdale
Tapas Papa Frita - Scottsdale,35,4.5 stars out of 5,Awesome,2,Tapas / Small Plates,Old Town Scottsdale
ZuZu at Hotel Valley Ho,23,4.6 stars out of 5,Exceptional,3,American,Central Scottsdale
Kyoto Scottsdale,7,4.5 stars out of 5,Awesome,3,Japanese,Old Town Scottsdale
Pasta Brioni,20,4.7 stars out of 5,Exceptional,2,Italian,Old Town Scottsdale
P.F. Chang's - The Waterfront,7,4.3 stars out of 5,Awesome,2,Asian,Old Town Scottsdale
Fogo de Chao - Scottsdale,113,4.3 stars out of 5,Awesome,3,Brazilian Steakhouse,Central Scottsdale
"Rita's Cantina & Bar, JW Marriott Scottsdale Camelback Inn",20,4.5 stars out of 5,Awesome,2,Southwest,Paradise Valley
Hearth '61 at Mountain Shadows,10,4.7 stars out of 5,Exceptional,3,Contemporary American,Paradise Valley
RnR,42,4.4 stars out of 5,Awesome,2,American,Old Town Scottsdale
Ruth's Chris Steak House - Scottsdale,50,4.7 stars out of 5,Exceptional,3,Steakhouse,North Scottsdale
Weft & Warp Art Bar + Kitchen,6,4.4 stars out of 5,Awesome,2,Contemporary American,Central Scottsdale
Pitch Pizzeria - Scottsdale,9,4.7 stars out of 5,Exceptional,2,Pizzeria,Old Town Scottsdale
La Señora,6,3.8 stars out of 5,Excellent,2,Mexican,Old Town Scottsdale
Taj Mahal Scottsdale,7,4.8 stars out of 5,Exceptional,2,Indian,Old Town Scottsdale
SumoMaya Mexican-Asian Kitchen,74,4.6 stars out of 5,Exceptional,2,Fusion / Eclectic,Central Scottsdale
Carlson Creek Vineyard - Marshall,1,4.8 stars out of 5,Exceptional,2,Winery,Old Town Scottsdale
Pubblico Italian Eatery - Scottsdale,13,4.6 stars out of 5,Exceptional,2,Cocktail Bar,Central Scottsdale
Roka Akor - Scottsdale,60,4.7 stars out of 5,Exceptional,3,Steakhouse,Central Scottsdale
Buca di Beppo - Scottsdale,8,4.3 stars out of 5,Awesome,2,Italian,Old Town Scottsdale
Doughbird - Pizza & Rotisserie,31,4.8 stars out of 5,Exceptional,2,Pizzeria,Central Phoenix
Lon's at The Hermosa,60,4.7 stars out of 5,Exceptional,3,American,Paradise Valley
North Italia – Arcadia,26,4.8 stars out of 5,Exceptional,2,Italian,Central Phoenix
"RA Sushi Bar Restaurant - Scottsdale Old Town, AZ",2,4.2 stars out of 5,Awesome,2,Japanese,Old Town Scottsdale
Social Tap Eatery,24,4.5 stars out of 5,Awesome,2,American,Scottsdale Quarter/Kierland Commons
Cobre Kitchen + Cocktails,NA,4.3 stars out of 5,Awesome,2,American,Old Town Scottsdale
Frashers Tavern,8,4.6 stars out of 5,Exceptional,2,Steakhouse,Old Town Scottsdale
Su Vino Winery,3,4.9 stars out of 5,Exceptional,2,Winery,Old Town Scottsdale
Prado Restaurant at Omni Scottsdale Resort & Spa at Montelucia,7,4.5 stars out of 5,Awesome,3,Spanish,Central Scottsdale
Taphouse Kitchen - Scottsdale,4,4.6 stars out of 5,Exceptional,2,American,North Scottsdale
Beckett's Table,16,4.8 stars out of 5,Exceptional,2,American,Central Phoenix
Fellow Osteria,19,4.7 stars out of 5,Exceptional,2,Italian,Old Town Scottsdale
Chart House Restaurant - Scottsdale,20,4.4 stars out of 5,Awesome,3,Seafood,Central Scottsdale
Grassroots Kitchen & Tap Scottsdale,44,4.8 stars out of 5,Exceptional,2,Contemporary American,Central Scottsdale
The Collins Small Batch Kitchen,20,4.8 stars out of 5,Exceptional,2,Contemporary American,Central Phoenix
Tomaso's - Phoenix,15,4.7 stars out of 5,Exceptional,3,Italian,Central Phoenix
Nook Kitchen - Phoenix,9,4.9 stars out of 5,Exceptional,2,Contemporary American,Central Phoenix
Twisted Grove Parlor & Bar - Scottsdale,21,4.7 stars out of 5,Exceptional,2,Contemporary American,Central Scottsdale
Gertrude's - Phoenix,21,4.5 stars out of 5,Awesome,3,Contemporary American,Central Phoenix
The Capital Grille - Phoenix,43,4.8 stars out of 5,Exceptional,4,Steakhouse,Central Phoenix
Seasons 52 - Phoenix,42,4.7 stars out of 5,Exceptional,2,American,Central Phoenix
The Stockyards Restaurant & 1889 Saloon,20,4.7 stars out of 5,Exceptional,3,Steakhouse,Central Phoenix
Blanco Tacos + Tequila - Biltmore Fashion Park,34,4.6 stars out of 5,Exceptional,2,Mexican,Central Phoenix
True Food Kitchen - Biltmore,38,4.7 stars out of 5,Exceptional,2,American,Central Phoenix
OBON Sushi + Bar + Ramen  at The Grove,17,4.6 stars out of 5,Exceptional,2,Asian,Central Scottsdale
Pita Jungle - Arcadia,NA,4.8 stars out of 5,Exceptional,2,Mediterranean,Central Phoenix
Pomo Cucina & Pizzeria,8,4.7 stars out of 5,Exceptional,2,Italian,Central Scottsdale
J&G Steakhouse Scottsdale at The Phoenician,21,4.8 stars out of 5,Exceptional,3,Steakhouse,Old Town Scottsdale
Afternoon Tea & Champagne Saturday – The Phoenician,5,4.8 stars out of 5,Exceptional,4,English,Old Town Scottsdale
Cafe Monarch,47,4.9 stars out of 5,Exceptional,4,Contemporary American,Old Town Scottsdale
Citizen Public House,21,4.7 stars out of 5,Exceptional,2,Contemporary American,Old Town Scottsdale
The House Brasserie,4,4.7 stars out of 5,Exceptional,3,Contemporary American,Old Town Scottsdale
The Herb Box - Old Town,34,4.7 stars out of 5,Exceptional,2,Contemporary American,Old Town Scottsdale
Yard House - Scottsdale,39,4.5 stars out of 5,Awesome,2,American,Old Town Scottsdale
Virtu Honest Craft,11,4.8 stars out of 5,Exceptional,4,Modern European,Old Town Scottsdale
Sel Restaurant,11,4.7 stars out of 5,Exceptional,2,Contemporary American,Old Town Scottsdale
Fat Ox,37,4.7 stars out of 5,Exceptional,4,Italian,Central Scottsdale
Tommy V's Urban Kitchen and Bar Scottsdale,15,4.6 stars out of 5,Exceptional,2,Italian,Old Town Scottsdale
Second Story Restaurant & Liquor Bar,28,4.5 stars out of 5,Awesome,3,American,Old Town Scottsdale
Benjamin's,3,4.7 stars out of 5,Exceptional,3,Bar / Lounge / Bottle Service,Central Phoenix
Pizzeria Virtu,20,4.7 stars out of 5,Exceptional,2,Pizzeria,Old Town Scottsdale
Fleming's Steakhouse - Scottsdale,NA,4.6 stars out of 5,Exceptional,3,Steak,Central Scottsdale
Aridus Wine Company - Scottsdale Tasting Room,9,4.9 stars out of 5,Exceptional,2,Winery,Old Town Scottsdale
Shinbay Omakase Room by Shinji Kurita,2,4.9 stars out of 5,Exceptional,4,Japanese,Old Town Scottsdale
Reserve,2,4.9 stars out of 5,Exceptional,4,"Global, International",Old Town Scottsdale
Old Town Tortilla Factory,10,4.5 stars out of 5,Awesome,2,Mexican / Southwestern,Old Town Scottsdale
STK - Scottsdale,17,NA,NA,4,Steakhouse,Old Town Scottsdale
Lincoln Restaurant at JW Marriott Camelback Inn,NA,4.5 stars out of 5,Awesome,4,American,Paradise Valley
L'Amore,18,4.8 stars out of 5,Exceptional,2,Italian,Central Phoenix
Wally's American Gastropub - Scottsdale,14,4.6 stars out of 5,Exceptional,2,Contemporary American,Central Scottsdale
The MARKET by Jennifer's RESTAURANT+BAR,3,4.6 stars out of 5,Exceptional,2,Contemporary American,Central Phoenix
Soi4 Bangkok Eatery - Scottsdale,3,4.6 stars out of 5,Exceptional,2,Thai,Central Scottsdale
Pubblico Italian Eatery,7,4.6 stars out of 5,Exceptional,2,Cocktail Bar,North Central Phoenix
Famous 48,13,4.5 stars out of 5,Awesome,2,American,Old Town Scottsdale
Zinburger Wine and Burger Bar - Phoenix,11,4.7 stars out of 5,Exceptional,2,Burgers,Central Phoenix
Base Pizzeria,1,4.8 stars out of 5,Exceptional,2,Pizzeria,Central Phoenix
Agave Del Scottsdale,9,4.4 stars out of 5,Awesome,2,Mexican,Central Scottsdale
Bandolero Cocina de Mexico,15,4.8 stars out of 5,Exceptional,2,Regional Mexican,Central Scottsdale
Avanti,9,4.6 stars out of 5,Exceptional,3,Italian,Central Phoenix
PHX Beer Co. - Scottsdale,9,4.4 stars out of 5,Awesome,2,American,Central Scottsdale
PROVISION,2,4.5 stars out of 5,Awesome,2,Cocktail Bar,Downtown Phoenix
Giuseppe's on 28th,5,4.6 stars out of 5,Exceptional,2,Italian,Central Phoenix
Khazana Indian Bistro,3,4.4 stars out of 5,Awesome,2,Indian,Central Scottsdale
Culinary Dropout at the Yard - Tempe,67,4.7 stars out of 5,Exceptional,2,Gastro Pub,Tempe
The Macintosh,17,4.8 stars out of 5,Exceptional,2,Contemporary American,Central Phoenix
Dominick's Steakhouse,98,4.9 stars out of 5,Exceptional,4,Steakhouse,Scottsdale Quarter/Kierland Commons
The Keg Steakhouse + Bar - Tempe,40,4.6 stars out of 5,Exceptional,3,Contemporary American,Tempe
King's Fish House - Tempe,24,4.5 stars out of 5,Awesome,2,Seafood,Tempe
North Italia – Kierland Commons,67,4.7 stars out of 5,Exceptional,2,Italian,Scottsdale Quarter/Kierland Commons
Mastro's Ocean Club - Scottsdale,37,4.7 stars out of 5,Exceptional,4,Steakhouse,Scottsdale Quarter/Kierland Commons
The Greene House - Kierland Commons,46,4.7 stars out of 5,Exceptional,2,American,Scottsdale Quarter/Kierland Commons
Phoenix City Grille,7,4.8 stars out of 5,Exceptional,2,American,North Central Phoenix
Zinc Bistro,60,4.7 stars out of 5,Exceptional,3,French,Scottsdale Quarter/Kierland Commons
Culinary Dropout at the Yard - Phoenix,38,4.6 stars out of 5,Exceptional,2,Gastro Pub,North Central Phoenix
True Food Kitchen - Scottsdale,77,4.7 stars out of 5,Exceptional,2,American,Scottsdale Quarter/Kierland Commons
Thirsty Lion Gastropub & Grill – Tempe,15,4.6 stars out of 5,Exceptional,2,Contemporary American,Tempe
Tommy Bahama Restaurant & Bar - Scottsdale,31,4.7 stars out of 5,Exceptional,2,Seafood,Scottsdale Quarter/Kierland Commons
Eddie V's - Scottsdale Quarter,44,4.8 stars out of 5,Exceptional,3,Seafood,Scottsdale Quarter/Kierland Commons
Tutti Santi Glendale Location - Phoenix,12,4.8 stars out of 5,Exceptional,3,Italian,North Central Phoenix
SOL Mexican Cocina - Scottsdale,25,4.7 stars out of 5,Exceptional,2,Mexican,Scottsdale Quarter/Kierland Commons
Top of the Rock Restaurant at the Marriott Buttes Resort,41,4.5 stars out of 5,Awesome,4,Contemporary American,Tempe
The Mission - Kierland Commons,63,4.4 stars out of 5,Awesome,3,Southwest,Scottsdale Quarter/Kierland Commons
Clever Koi - Phoenix,21,4.8 stars out of 5,Exceptional,2,Asian,North Central Phoenix
Gabriella's Contemporary American Cuisine,13,4.7 stars out of 5,Exceptional,3,Contemporary American,North Scottsdale
Tutti Santi Greenway Location - Scottsdale,17,4.8 stars out of 5,Exceptional,2,Italian,Scottsdale Quarter/Kierland Commons
Chantico,40,4.6 stars out of 5,Exceptional,2,Mexican,North Central Phoenix
Arrivederci Ristorante,14,4.7 stars out of 5,Exceptional,2,Italian,Scottsdale Quarter/Kierland Commons
"Benihana - Scottsdale, AZ",78,4.5 stars out of 5,Awesome,2,Japanese,Scottsdale Quarter/Kierland Commons
Chico Malo,35,4.6 stars out of 5,Exceptional,2,Mexican,Central Phoenix
Morton's The Steakhouse - Scottsdale,20,4.5 stars out of 5,Awesome,2,Steakhouse,Scottsdale Quarter/Kierland Commons
Snakes & Lattes - Tempe,9,4.5 stars out of 5,Awesome,2,American,Tempe
"RA Sushi Bar Restaurant - North Scottsdale, AZ",55,4.5 stars out of 5,Awesome,2,Japanese,Scottsdale Quarter/Kierland Commons
Alter Ego,4,4.6 stars out of 5,Exceptional,2,Unspecified,Tempe
Southern Rail,7,4.6 stars out of 5,Exceptional,2,American,North Central Phoenix
Pita Jungle - Scottsdale Shea,1,4.3 stars out of 5,Awesome,2,Mediterranean,Central Scottsdale
Kovo,2,4.7 stars out of 5,Exceptional,2,Mediterranean,Central Phoenix
OBON Sushi + Bar + Ramen - Scottsdale Quarter,22,4.5 stars out of 5,Awesome,2,Asian,Scottsdale Quarter/Kierland Commons
Culinary Dropout at The Quarter,88,4.7 stars out of 5,Exceptional,3,American,North Scottsdale
Taco Guild,13,4.7 stars out of 5,Exceptional,2,Contemporary Mexican,Downtown Phoenix
Macayo's Mexican Food - ASU Tempe,5,4.1 stars out of 5,Excellent,2,Mexican,Tempe
Marigold Maison,1,4.5 stars out of 5,Awesome,2,Indian,North Central Phoenix
Volanti Restaurant & Lounge,14,4.7 stars out of 5,Exceptional,2,Continental,North Scottsdale
P.F. Chang's - Tempe,1,4 stars out of 5,Excellent,2,Asian,Tempe
Fuego at The Clarendon,7,4.7 stars out of 5,Exceptional,3,Latin / Spanish,North Central Phoenix
Blue Adobe Grille - Scottsdale,10,4.6 stars out of 5,Exceptional,2,Mexican / Southwestern,Central Scottsdale
Sushi Ko Resturant,2,4.5 stars out of 5,Awesome,2,Japanese,North Scottsdale
K O'Donnell's Sports Bar & Grill,4,4.7 stars out of 5,Exceptional,2,American,North Scottsdale
Taphouse Kitchen - Phoenix,2,4.6 stars out of 5,Exceptional,2,American,North Central Phoenix
Blanco Cocina + Cantina - Downtown Phoenix,33,4.8 stars out of 5,Exceptional,2,Mexican / Southwestern,Downtown Phoenix
Famous Dave's - Mesa,4,4.2 stars out of 5,Awesome,2,American,Mesa
Nellie Cashman's Monday Club Cafe at The Westin Kierland Resort & Spa,6,4.3 stars out of 5,Awesome,2,Steak,Scottsdale Quarter/Kierland Commons
Anhelo,4,4.7 stars out of 5,Exceptional,3,Contemporary American,Downtown Phoenix
Pita Jungle - Tempe,1,NA,NA,2,Mediterranean,Tempe
NM Cafe at Neiman Marcus - Scottsdale,NA,4.5 stars out of 5,Awesome,2,Contemporary American,Old Town Scottsdale
Flint by Baltaire,18,4.7 stars out of 5,Exceptional,3,American,Central Phoenix
Modern Oysterbar Chophouse,27,4.7 stars out of 5,Exceptional,4,Steakhouse,Central Scottsdale
Kitchen West Restaurant - The Scottsdale Resort at McCormick Ranch,NA,4.4 stars out of 5,Awesome,3,American,Central Scottsdale
Dierks Bentley's Whiskey Row Scottsdale,NA,3.6 stars out of 5,Very Good,2,American,Old Town Scottsdale
Selfmade at Hotel Adeline,NA,3.9 stars out of 5,Excellent,2,American,Old Town Scottsdale
Granada Bar and Grill-Embassy Suites by Hilton,NA,3 stars out of 5,Good,3,American,Central Scottsdale
The District All-American Burger Bar,NA,NA,NA,2,American,Old Town Scottsdale
Drunk Munk,NA,NA,NA,2,Polynesian,Old Town Scottsdale
Kelly's At Southbridge,NA,3.9 stars out of 5,Excellent,2,American,Old Town Scottsdale
El Hefe - Scottsdale,NA,NA,NA,2,Mexican,Old Town Scottsdale
Geisha A GO GO,NA,3.9 stars out of 5,Excellent,2,Japanese,Old Town Scottsdale
Morning Squeeze,NA,4.5 stars out of 5,Awesome,2,Breakfast,Old Town Scottsdale
Casa Amigos,NA,3.7 stars out of 5,Very Good,2,Contemporary Mexican,Old Town Scottsdale
Clubhouse at Maya,NA,NA,NA,2,American,Old Town Scottsdale
Royal Palms Special Event,NA,4.4 stars out of 5,Awesome,4,Mediterranean,Central Phoenix
Riot House,NA,NA,NA,3,Mexican,Old Town Scottsdale
Maui Pasta,2,4.5 stars out of 5,Awesome,2,Italian,Central Scottsdale
Starlite BBQ,NA,4.4 stars out of 5,Awesome,2,Pub,Old Town Scottsdale
Over Easy,NA,NA,NA,2,American,Central Phoenix
Autumn Court Chinese Restaurant,NA,3.7 stars out of 5,Very Good,2,Chinese,Central Phoenix
Lou's Bar and Grill - Papago Golf Course,NA,4.4 stars out of 5,Awesome,2,American,Central Phoenix
SWB - Hyatt Regency Scottsdale,NA,4.5 stars out of 5,Awesome,3,Latin American,Central Scottsdale
Burger Theory - Holiday Inn Hotel & Suites Phoenix Airport,NA,4.1 stars out of 5,Excellent,2,Burgers,Central Phoenix
Frank & Alberts,NA,4 stars out of 5,Excellent,3,Southwest,Central Phoenix
Alto Ristorante e Bar,NA,4.4 stars out of 5,Awesome,3,Italian,Central Scottsdale
Afternoon Tea at The Arizona Biltmore,NA,4.3 stars out of 5,Awesome,3,British,Central Phoenix
Arizona Biltmore Special Events,NA,NA,NA,4,Contemporary American,Central Phoenix
Artizen Crafted American Kitchen and Bar,NA,4 stars out of 5,Excellent,2,American,Central Phoenix
Wright's at the Biltmore,NA,4.7 stars out of 5,Exceptional,3,Contemporary American,Central Phoenix
Rusconi's American Kitchen,12,4.9 stars out of 5,Exceptional,2,Contemporary American,Central Phoenix
The Gladly,23,4.8 stars out of 5,Exceptional,3,Contemporary American,Central Phoenix
Ocotillo,59,4.6 stars out of 5,Exceptional,2,Contemporary American,Downtown Phoenix
Voila French Bistro,8,4.8 stars out of 5,Exceptional,3,French,North Scottsdale
Christo's Ristorante,5,4.7 stars out of 5,Exceptional,2,Italian,Downtown Phoenix
The Arrogant Butcher,42,4.6 stars out of 5,Exceptional,2,American,Downtown Phoenix
Alexi's Grill,1,4.7 stars out of 5,Exceptional,2,Italian,Downtown Phoenix
Morning Squeeze – Tempe,1,4.8 stars out of 5,Exceptional,2,Breakfast,Tempe
Blue Hound Kitchen & Cocktails,6,4.4 stars out of 5,Awesome,3,American,Downtown Phoenix
Red Lobster - Scottsdale,1,3.9 stars out of 5,Excellent,2,Seafood,North Scottsdale
The Golden Pineapple Craft Lounge,3,4.7 stars out of 5,Exceptional,2,Mexican / Southwestern,Tempe
Zinburger Wine and Burger Bar - Scottsdale,24,4.6 stars out of 5,Exceptional,2,Burgers,Scottsdale Quarter/Kierland Commons
Original Gravity,1,4.6 stars out of 5,Exceptional,2,American,North Central Phoenix
Forno 301,4,4.9 stars out of 5,Exceptional,2,Pizzeria,Downtown Phoenix
Character Distinctive Dining,3,4.8 stars out of 5,Exceptional,3,Contemporary American,Downtown Phoenix
Highball,8,4.9 stars out of 5,Exceptional,3,Cocktail Bar,Downtown Phoenix
Rainforest Cafe - Tempe Arizona Mills,5,3.8 stars out of 5,Excellent,2,American,Tempe
Rott n' Grapes Uptown,NA,4.8 stars out of 5,Exceptional,2,Italian,Central Phoenix
Brittlebush Bar & Grill at The Westin Kierland Resort,2,4.8 stars out of 5,Exceptional,2,Gastro Pub,Scottsdale Quarter/Kierland Commons
Pita Jungle - Downtown,NA,NA,NA,2,Mediterranean,Downtown Phoenix
The Duce,13,NA,NA,3,American,Downtown Phoenix
Mancuso's Restaurant,8,4.6 stars out of 5,Exceptional,3,Italian,Downtown Phoenix
Mora Italian,NA,4.5 stars out of 5,Awesome,3,Contemporary Italian,North Central Phoenix
P.F. Chang's - Kierland,NA,4.3 stars out of 5,Awesome,2,Asian,Desert Ridge
Palette at Phoenix Art Museum,2,4.4 stars out of 5,Awesome,2,American,Downtown Phoenix
Copper Blues (Downtown),7,4.3 stars out of 5,Awesome,2,American,Downtown Phoenix
Scotch Library at Westin Kierland Resort and Spa,1,4.6 stars out of 5,Exceptional,2,Bar / Lounge / Bottle Service,Scottsdale Quarter/Kierland Commons
Pulque,NA,NA,NA,3,Mexican,Central Scottsdale
Takeda Thai by Moulay,NA,4.5 stars out of 5,Awesome,2,Thai,Central Scottsdale
Ajo Al's Mexican Cafe - Scottsdale - Agua Caliente Plaza,NA,4.3 stars out of 5,Awesome,2,Mexican,North Scottsdale
Ajo Al's- Scottsdale- Ranch Center,NA,4.1 stars out of 5,Excellent,2,Mexican,Central Scottsdale
Greekfest,NA,4.2 stars out of 5,Awesome,2,Greek,Central Phoenix
Over Easy Phoenix - Tatum/Shea,NA,NA,NA,2,Breakfast,Central Phoenix
Varsity Tavern on Mill Ave,NA,3 stars out of 5,Good,2,American,Tempe
El Hefe - Tempe,NA,3 stars out of 5,Good,2,Mexican,Tempe
Ajo Al’s Mexican Cafe - Phoenix,NA,3.9 stars out of 5,Excellent,2,Mexican,Downtown Phoenix
Richardson's Cuisine of New Mexico,NA,4.7 stars out of 5,Exceptional,2,Southwest,North Central Phoenix
Rokerij,NA,4.7 stars out of 5,Exceptional,2,American,North Central Phoenix
The Normal restaurant,NA,NA,NA,2,American,Tempe
The Revelry - Links Room,NA,NA,NA,2,American,Mesa
Bevvy,NA,4.4 stars out of 5,Awesome,2,Pub,North Central Phoenix
Boulders On Broadway,NA,3.9 stars out of 5,Excellent,2,American,Tempe
Sierra Bonita Grill,NA,4.6 stars out of 5,Exceptional,3,Southwest,North Central Phoenix
"Market Cafe at The Buttes, Marriott Resort",NA,4.4 stars out of 5,Awesome,2,Contemporary American,Tempe
KASAI non-Teppanyaki,NA,4.1 stars out of 5,Excellent,2,Japanese,North Scottsdale
Kasai - Teppanyaki,NA,4.6 stars out of 5,Exceptional,3,Teppanyaki,North Scottsdale
Salt River Tavern - Embassy Suites Phoenix Downtown North,NA,4.3 stars out of 5,Awesome,2,American,Downtown Phoenix
Garden Grille,NA,NA,NA,2,American,Downtown Phoenix
Switch Restaurant & Wine Bar,NA,4.7 stars out of 5,Exceptional,2,Contemporary American,North Central Phoenix
Durant's,NA,4.8 stars out of 5,Exceptional,3,American,Downtown Phoenix
Dvina Modern Fare,NA,4 stars out of 5,Excellent,2,Contemporary Italian,Downtown Phoenix
Deseo at the Westin Kierland Resort & Spa,NA,4.7 stars out of 5,Exceptional,3,Latin American,Scottsdale Quarter/Kierland Commons
Poppy at Cambria Hotel,NA,4.2 stars out of 5,Awesome,2,"Global, International",Downtown Phoenix
Nobuo at Teeter House,NA,4.6 stars out of 5,Exceptional,4,Japanese,Downtown Phoenix
Spokes On Southern,NA,NA,NA,2,American,Tempe
Match Restaurant & Lounge,NA,4.2 stars out of 5,Awesome,2,Contemporary American,Downtown Phoenix
The Breadfruit & Rum Bar,NA,4.6 stars out of 5,Exceptional,3,Caribbean,Downtown Phoenix
District American Kitchen and Wine Bar,NA,4.2 stars out of 5,Awesome,2,American,Downtown Phoenix
Over Easy Scottsdale - FLW / Via Linda,NA,NA,NA,2,Breakfast,North Scottsdale
Barrel & Bushel,NA,4 stars out of 5,Excellent,2,American,Downtown Phoenix
Province Urban Kitchen & Bar,NA,4.1 stars out of 5,Excellent,2,American,Downtown Phoenix
Floor 13 Rooftop Bar,NA,NA,NA,3,Cocktail Bar,Downtown Phoenix
The Original Pancake House,NA,NA,NA,2,American,Old Town Scottsdale
Metropolis Restaurant & Bar,NA,NA,NA,2,American,Old Town Scottsdale
Thirsty Lion Gastropub & Grill – Scottsdale,NA,4.3 stars out of 5,Awesome,2,Contemporary American,Old Town Scottsdale
4th Floor Grille & Sports Bar,NA,NA,NA,2,Gastro Pub,Central Scottsdale
The Scott Grill at The Scott Resort & Spa,NA,4.2 stars out of 5,Awesome,2,Italian,Old Town Scottsdale
Papi Chulo's - The Clarion Hotel Scottsdale,NA,NA,NA,2,American,Old Town Scottsdale
Papi Chulos - Day's Inn Scottsdale,NA,NA,NA,2,American,Old Town Scottsdale
Kona Grill,NA,NA,NA,2,Hawaiian,Old Town Scottsdale
Postino Highland,NA,NA,NA,2,Italian,Old Town Scottsdale
Bouchon,NA,NA,NA,2,American,Central Scottsdale
Tapas Papa Frita,NA,4.3 stars out of 5,Awesome,2,Spanish,Old Town Scottsdale
Barrio Queen,NA,NA,NA,2,American,Old Town Scottsdale
Silvana,NA,NA,NA,2,Contemporary American,Old Town Scottsdale
Kazimlerz World Wine Bar,NA,NA,NA,2,Grill,Old Town Scottsdale
Kazimierz Wine and Whiskey Bar,NA,3.5 stars out of 5,Very Good,2,Tapas / Small Plates,Old Town Scottsdale
5th Ave Restaurant,NA,NA,NA,2,American,Old Town Scottsdale
Stax Burger Bistro,NA,NA,NA,2,Burgers,Old Town Scottsdale
Bs West,NA,NA,NA,2,American,Old Town Scottsdale
Diego Pops,NA,NA,NA,2,Mexican,Old Town Scottsdale
Sunset Bar- W Hotel Scottsdale,NA,NA,NA,2,Contemporary American,Old Town Scottsdale
Candelas,NA,4.9 stars out of 5,Exceptional,2,Contemporary American,Old Town Scottsdale
Franco's Cafe,NA,NA,NA,2,Bistro,Old Town Scottsdale
Original Chopshop Co,NA,NA,NA,2,American,Old Town Scottsdale
Off The Hook- Scottsdale,NA,NA,NA,2,Seafood,Old Town Scottsdale
Blue Clover Distillery,NA,4.3 stars out of 5,Awesome,2,American,Old Town Scottsdale
Frank & Lupes Old Mexico,NA,NA,NA,2,Mexican,Old Town Scottsdale
Craft 64,NA,4.5 stars out of 5,Awesome,2,Pizzeria,Old Town Scottsdale
The Venue Of Scottsdale,NA,NA,NA,2,American,Old Town Scottsdale
Loco Patron,NA,NA,NA,2,Mexican,Old Town Scottsdale
Grazie Pizzeria & Wine Bar,NA,NA,NA,2,Wine Bar,Old Town Scottsdale
Julios Too Mexican Restaurants,NA,NA,NA,2,Mexican,Old Town Scottsdale
Dakota Bar - Scottsdale,NA,3.5 stars out of 5,Very Good,2,Contemporary American,Central Scottsdale
Giligins,NA,NA,NA,2,Seafood,Old Town Scottsdale
Wasted Grain & Bubble Room,NA,NA,NA,2,American,Old Town Scottsdale
